,Year,StateAbbr,CountyFIPS,LocationName,DataSource,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID
734,2019,TX,48005,48005000101,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,24.5,22.3,27.1,6311,POINT (-94.85366411 31.44023805),48005000101
747,2019,TX,48005,48005000600,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,35.0,32.7,37.5,6416,POINT (-94.69610789 31.34870065),48005000600
790,2019,TX,48005,48005000200,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,27.8,25.3,30.2,6580,POINT (-94.67256762 31.36878463),48005000200
911,2019,TX,48005,48005000302,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,24.4,22.7,26.2,4613,POINT (-94.78324547 31.28151554),48005000302
917,2019,TX,48005,48005001002,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,25.7,24.2,27.4,4289,POINT (-94.70737156 31.1660396),48005001002
941,2019,TX,48005,48005000902,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,16.9,15.0,19.2,3745,POINT (-94.72799848 31.28259013),48005000902
1030,2019,TX,48025,48025950400,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,33.9,30.8,37.2,2006,POINT (-97.75969391 28.4029454),48025950400
1084,2019,TX,48029,48029141101,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,32.6,30.1,35.2,4438,POINT (-98.45341509 29.3575493),48029141101
1106,2019,TX,48039,48039660801,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,14.0,12.8,15.2,8422,POINT (-95.3099459 29.5530505),48039660801
1142,2019,TX,48029,48029152000,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,30.1,27.0,33.6,1896,POINT (-98.53407355 29.28326742),48029152000
1169,2019,TX,48029,48029121116,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,16.0,14.3,17.8,4839,POINT (-98.46503542 29.58397318),48029121116
1196,2019,TX,48013,48013960202,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,28.2,26.1,30.5,9342,POINT (-98.63201619 29.0870305),48013960202
1205,2019,TX,48029,48029181902,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,12.3,11.2,13.5,5999,POINT (-98.64565653 29.64599526),48029181902
1219,2019,TX,48027,48027023402,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,22.0,20.8,23.4,4862,POINT (-97.29531874 30.90768706),48027023402
1338,2019,TX,48029,48029141403,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,26.0,23.2,28.8,3717,POINT (-98.42727074 29.35866622),48029141403
1369,2019,TX,48029,48029131608,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,17.5,15.9,19.3,4789,POINT (-98.30408965 29.51739087),48029131608
1415,2019,TX,48029,48029190604,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,37.3,32.9,41.6,4438,POINT (-98.51354946 29.47462324),48029190604
1424,2019,TX,48029,48029121809,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,17.8,16.1,19.6,4982,POINT (-98.38215125 29.57808674),48029121809
1457,2019,TX,48029,48029190501,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,32.0,28.8,35.5,2878,POINT (-98.51997629 29.46019479),48029190501
1479,2019,TX,48029,48029191815,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,13.0,11.2,15.1,5292,POINT (-98.50854374 29.62958766),48029191815
1500,2019,TX,48021,48021950400,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,18.1,16.6,19.6,7984,POINT (-97.30855993 30.10706182),48021950400
1543,2019,TX,48029,48029180604,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,27.9,25.5,30.7,5892,POINT (-98.57062471 29.48129457),48029180604
1546,2019,TX,48039,48039661900,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,24.2,21.5,26.9,12253,POINT (-95.49673902 29.35249089),48039661900
1554,2019,TX,48039,48039660400,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,14.3,12.6,16.2,9119,POINT (-95.27134148 29.57574235),48039660400
1558,2019,TX,48029,48029180501,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,35.9,32.4,39.6,4536,POINT (-98.58963467 29.47021028),48029180501
1565,2019,TX,48027,48027021602,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,14.0,12.4,16.9,2499,POINT (-97.49486095 31.07587154),48027021602
1586,2019,TX,48029,48029181826,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,14.7,13.2,16.4,6043,POINT (-98.63873966 29.55283271),48029181826
1589,2019,TX,48037,48037010100,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,26.6,24.3,29.2,5172,POINT (-94.04930403 33.45057933),48037010100
1632,2019,TX,48029,48029131612,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,17.5,15.3,19.6,1512,POINT (-98.32141797 29.46477588),48029131612
1656,2019,TX,48029,48029120702,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,16.5,13.7,21.1,4477,POINT (-98.47172069 29.50007052),48029120702
1674,2019,TX,48029,48029121908,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,12.3,10.7,14.0,2474,POINT (-98.3979581 29.71215903),48029121908
1700,2019,TX,48029,48029170402,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,40.6,36.1,45.2,5197,POINT (-98.53554792 29.43429776),48029170402
1724,2019,TX,48029,48029181724,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,13.9,12.6,15.2,4267,POINT (-98.68784217 29.55096247),48029181724
1788,2019,TX,48029,48029121108,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,15.6,14.1,17.3,7109,POINT (-98.47009386 29.56642654),48029121108
1849,2019,TX,48029,48029131601,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,15.2,14.1,16.4,2518,POINT (-98.24691984 29.50873813),48029131601
1858,2019,TX,48029,48029161304,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,33.6,29.6,37.7,4290,POINT (-98.59217365 29.34949079),48029161304
1877,2019,TX,48027,48027023103,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,25.7,24.6,26.9,4467,POINT (-97.75273685 31.09800479),48027023103
1895,2019,TX,48029,48029190901,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,27.1,24.3,30.1,5322,POINT (-98.49829125 29.5060074),48029190901
1916,2019,TX,48029,48029110600,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,39.1,34.9,43.1,7553,POINT (-98.50748544 29.43023073),48029110600
1937,2019,TX,48015,48015760502,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,25.2,23.1,27.4,5104,POINT (-96.17885526 29.94189623),48015760502
1955,2019,TX,48029,48029171925,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,21.8,19.6,24.3,9244,POINT (-98.66202522 29.46910295),48029171925
2017,2019,TX,48027,48027023201,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,9.9,8.1,12.3,2684,POINT (-97.75549224 31.12733701),48027023201
2063,2019,TX,48029,48029181601,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,31.1,28.7,33.9,3082,POINT (-98.60245089 29.47532227),48029181601
2070,2019,TX,48029,48029191006,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,33.6,30.5,36.5,6674,POINT (-98.51685769 29.486457),48029191006
2112,2019,TX,48029,48029141800,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,29.3,27.6,30.9,4554,POINT (-98.36166855 29.25740803),48029141800
2158,2019,TX,48029,48029121110,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,16.7,14.6,19.0,4895,POINT (-98.41462922 29.58437912),48029121110
2160,2019,TX,48029,48029181504,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,17.1,15.7,18.7,5796,POINT (-98.59354107 29.5054985),48029181504
2181,2019,TX,48039,48039660601,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,15.2,13.5,16.9,11893,POINT (-95.36955491 29.57155452),48039660601
2228,2019,TX,48019,48019000200,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,23.2,20.8,25.7,2726,POINT (-99.39352017 29.77400807),48019000200
2278,2019,TX,48029,48029191812,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,12.2,10.9,13.6,3728,POINT (-98.48777485 29.65518468),48029191812
2310,2019,TX,48029,48029180504,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,36.3,32.7,40.2,4491,POINT (-98.59190374 29.45230024),48029180504
2334,2019,TX,48027,48027022405,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,16.2,14.2,18.4,1750,POINT (-97.71154932 31.08012143),48027022405
2389,2019,TX,48029,48029141300,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,27.4,25.2,29.9,5591,POINT (-98.41465285 29.37552206),48029141300
2436,2019,TX,48039,48039662400,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,21.1,19.8,22.5,5637,POINT (-95.34684217 29.1979462),48039662400
2488,2019,TX,48029,48029130300,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,34.1,31.1,37.4,3303,POINT (-98.4671941 29.40732423),48029130300
2492,2019,TX,48029,48029191201,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,18.5,16.6,20.4,3143,POINT (-98.50060281 29.54101005),48029191201
2525,2019,TX,48029,48029160502,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,38.9,35.1,42.9,4096,POINT (-98.53938706 29.40276096),48029160502
2566,2019,TX,48031,48031950100,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,19.0,17.5,20.5,4963,POINT (-98.40044797 30.33863016),48031950100
2592,2019,TX,48029,48029141700,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,22.6,21.1,24.4,5224,POINT (-98.39474806 29.3232229),48029141700
2610,2019,TX,48029,48029191408,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,18.0,16.4,19.7,2989,POINT (-98.51499767 29.54973929),48029191408
2613,2019,TX,48021,48021950801,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,28.2,25.8,30.5,6520,POINT (-97.5150873 30.05510193),48021950801
2644,2019,TX,48029,48029181100,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,19.5,17.7,21.5,5665,POINT (-98.55028064 29.52692738),48029181100
2645,2019,TX,48029,48029191406,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,12.3,10.7,14.1,6468,POINT (-98.52000078 29.59811235),48029191406
2724,2019,TX,48029,48029171601,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,34.8,30.3,39.4,4462,POINT (-98.61782922 29.41702216),48029171601
2781,2019,TX,48039,48039663800,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,22.4,19.9,24.9,5658,POINT (-95.41055856 29.02960304),48039663800
2795,2019,TX,48029,48029181822,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,17.2,15.4,19.1,4917,POINT (-98.62506652 29.52501793),48029181822
2823,2019,TX,48029,48029182102,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,13.5,12.3,14.6,6641,POINT (-98.66953065 29.70208106),48029182102
2837,2019,TX,48029,48029131610,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,17.4,16.0,18.9,5436,POINT (-98.31801359 29.49491163),48029131610
2861,2019,TX,48027,48027021302,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,17.5,15.2,20.2,2865,POINT (-97.39132001 31.06750814),48027021302
2926,2019,TX,48039,48039663300,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,22.4,20.1,24.9,2661,POINT (-95.44262081 29.03675612),48039663300
2944,2019,TX,48029,48029121910,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,12.5,11.4,13.6,4736,POINT (-98.38981392 29.62110395),48029121910
2959,2019,TX,48029,48029191004,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,38.8,35.9,42.0,3730,POINT (-98.50661445 29.4961574),48029191004
2961,2019,TX,48027,48027023107,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,20.7,19.6,21.8,7105,POINT (-97.75924073 31.0856794),48027023107
2964,2019,TX,48011,48011950100,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,19.7,17.6,21.7,1901,POINT (-101.3573893 34.96492854),48011950100
3022,2019,TX,48029,48029181820,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,16.2,13.5,20.8,7202,POINT (-98.61508139 29.57898044),48029181820
3078,2019,TX,48029,48029171501,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,37.6,33.8,41.5,2846,POINT (-98.58129746 29.4156591),48029171501
3092,2019,TX,48029,48029121402,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,24.1,22.0,26.3,5584,POINT (-98.36856942 29.49204971),48029121402
3126,2019,TX,48029,48029180300,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,32.5,29.1,36.6,4462,POINT (-98.5575114 29.46676475),48029180300
3153,2019,TX,48029,48029121601,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,23.1,21.0,25.3,4754,POINT (-98.30611725 29.54733841),48029121601
3177,2019,TX,48029,48029110300,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,28.7,25.5,31.7,2542,POINT (-98.48084833 29.41433247),48029110300
3214,2019,TX,48029,48029181720,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,15.1,13.2,17.2,4420,POINT (-98.66338432 29.53942949),48029181720
3239,2019,TX,48027,48027021203,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,18.9,16.5,21.7,4298,POINT (-97.40868645 31.07922188),48027021203
3266,2019,TX,48015,48015760300,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,21.9,20.3,23.7,7037,POINT (-96.24916239 29.79315753),48015760300
3268,2019,TX,48029,48029120400,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,12.4,10.6,14.6,5733,POINT (-98.44673408 29.47612515),48029120400
3272,2019,TX,48029,48029181303,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,27.9,25.5,30.3,3565,POINT (-98.57202249 29.53282993),48029181303
3286,2019,TX,48021,48021950200,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,27.3,25.0,29.6,7955,POINT (-97.3741657 30.35376065),48021950200
3309,2019,TX,48029,48029171100,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,43.3,38.6,47.6,3720,POINT (-98.56862205 29.42245969),48029171100
3349,2019,TX,48027,48027020402,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,27.6,25.8,29.5,2803,POINT (-97.29237693 31.12347792),48027020402
3354,2019,TX,48029,48029172006,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,15.6,13.8,17.3,6698,POINT (-98.78381182 29.46089586),48029172006
3380,2019,TX,48027,48027023105,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,16.4,14.9,18.1,8805,POINT (-97.79215636 31.07332008),48027023105
3393,2019,TX,48029,48029190902,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,19.1,16.9,21.4,3783,POINT (-98.48534291 29.4961464),48029190902
3398,2019,TX,48029,48029131200,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,37.1,35.0,39.3,3361,POINT (-98.41416537 29.39692792),48029131200
3399,2019,TX,48029,48029140600,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,33.2,29.4,37.0,2632,POINT (-98.44360421 29.39272191),48029140600
3443,2019,TX,48039,48039663600,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,14.3,12.3,16.7,5080,POINT (-95.42481505 29.05057478),48039663600
3447,2019,TX,48033,48033950100,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,15.7,14.6,17.0,641,POINT (-101.4317452 32.74370025),48033950100
3611,2019,TX,48025,48025950201,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,24.5,21.4,27.8,7928,POINT (-97.55434387 28.32489217),48025950201
3625,2019,TX,48029,48029150800,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,42.9,39.9,45.9,3165,POINT (-98.4771121 29.36622802),48029150800
3629,2019,TX,48029,48029131402,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,33.0,31.1,35.0,2622,POINT (-98.37591713 29.40637013),48029131402
3651,2019,TX,48029,48029181817,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,22.6,20.8,24.7,3025,POINT (-98.61797949 29.51114226),48029181817
3665,2019,TX,48029,48029980003,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,11.5,10.3,12.4,1802,POINT (-98.66456679 29.369479),48029980003
3668,2019,TX,48029,48029140800,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,34.4,30.7,38.2,5028,POINT (-98.46962325 29.37767194),48029140800
3680,2019,TX,48029,48029130900,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,34.8,32.8,37.0,4689,POINT (-98.40755865 29.43717435),48029130900
3732,2019,TX,48029,48029121811,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,15.7,13.7,17.8,4476,POINT (-98.39319782 29.5954739),48029121811
3743,2019,TX,48029,48029110100,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,22.2,20.0,24.5,3379,POINT (-98.49073839 29.42660921),48029110100
3796,2019,TX,48029,48029192100,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,16.4,14.6,18.4,2077,POINT (-98.4938162 29.40834415),48029192100
3797,2019,TX,48029,48029121507,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,23.0,21.4,24.8,5036,POINT (-98.35770241 29.51604227),48029121507
3821,2019,TX,48029,48029171401,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,30.4,27.0,34.1,4284,POINT (-98.59476068 29.44131737),48029171401
3845,2019,TX,48039,48039660900,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,24.8,22.9,26.7,6806,POINT (-95.2877383 29.50594597),48039660900
3887,2019,TX,48029,48029121204,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,21.8,20.1,23.5,7747,POINT (-98.42067819 29.5263686),48029121204
3908,2019,TX,48029,48029151700,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,31.3,29.0,33.9,6423,POINT (-98.50063468 29.32946866),48029151700
3912,2019,TX,48029,48029181712,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,18.5,16.4,20.6,3821,POINT (-98.6596314 29.4930681),48029181712
3930,2019,TX,48027,48027021201,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,16.2,14.9,17.9,3021,POINT (-97.38942006 31.1158984),48027021201
3976,2019,TX,48029,48029131100,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,36.1,33.3,39.2,2438,POINT (-98.42683139 29.40560948),48029131100
3977,2019,TX,48029,48029161302,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,32.4,28.4,36.5,5889,POINT (-98.61302688 29.33278075),48029161302
3992,2019,TX,48039,48039662500,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,21.3,19.8,23.0,2486,POINT (-95.54206939 29.11819669),48039662500
4001,2019,TX,48027,48027021903,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,12.9,11.5,14.5,8350,POINT (-97.66418967 31.05781299),48027021903
4044,2019,TX,48029,48029180901,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,25.4,22.8,28.4,5181,POINT (-98.54021859 29.49708265),48029180901
4061,2019,TX,48029,48029131505,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,22.1,20.2,24.1,3567,POINT (-98.36628611 29.47284143),48029131505
4070,2019,TX,48039,48039661100,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,22.6,20.6,24.6,3175,POINT (-95.22838051 29.44093378),48039661100
4085,2019,TX,48029,48029161802,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,26.7,24.9,28.6,5319,POINT (-98.6608212 29.34510032),48029161802
4086,2019,TX,48027,48027021400,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,20.0,18.5,21.6,3834,POINT (-97.34205335 31.00552961),48027021400
4110,2019,TX,48029,48029181824,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,16.1,14.4,17.8,5060,POINT (-98.64114118 29.56534418),48029181824
